Date,Title,Content,Name,Rating,Version
12/8/2018,Too little new content for the price..,"Too little new content for the price.  While quality is high, there isn’t enough of it to justify an ongoing $50/mo subscription.  For a lower monthly price, you can get 5x to 10x more new content of the same quality on other services.  Pluralsight will have to either increase the amount of new content or dramatically reduce its price to be viable.",ngault,2,2.47
12/5/2018,Great course,Great stuff. Thanks Cory.,Navarrorc,5,2.47
11/18/2018,How to remove from “continue viewing?”,I’m getting a lot of use out of the app and website. Question: how can I remove a video from “continue viewing” section on the app? I can remove it from the website portal but I can’t find the same option on the iOS app.,alien972,5,2.47
11/15/2018,Bad WiFi behavior,What is wrong with the WiFi behavior? The app keeps asking for connection even though its already connected,princeomon,2,2.47
11/8/2018,Best tech training,"Great technical training, accessible wherever you’re at (including download option so you can prepare for low/no bandwidth scenarios). Annual subscription is your best bet (watch for sales near year end). A must for programmers and networking people.",easthollow,4,2.47
11/6/2018,Chromecast connection problem,Disconnecting with Chromecast casting. Every time I need to connect with Application for every video. Please fix it.,Billy Mamu,2,2.47
10/30/2018,It keeps telling me error 7001,Every time I try to watch something there is error and try again,Mohtady,5,2.47
10/28/2018,"Fluid design, Great content","Pluralsight is an amazing place to keep yourself updated with latest tech with the help of experts. The best way hinge I like is the 'consistent experience' in all the courses. It greatly reduces the cognitive load as we go through the courses. 
App works great. No issues so far. Really love the download feature. The only issue  I have seen is it prompts that Wi-Fi is required to watch, even though the course is fully downloaded. Keep up the great work 👍",SGaneshJ,5,2.47
10/28/2018,Download takes way too long comparing to other services,"It takes a long time to fully download a course comparing to LinkedIn Learning for a 7-hour-long course. Also, it the length of each video is shown, that would be better. The desktop version supports this.",kennethwtyy,3,2.47
10/27/2018,Doesn’t work with Chromecast,Locking your phone after casting disconnects the app from casting. Only way to cast is to keep your phone awake the entire time.,winstonhenke,1,2.47
10/27/2018,While Traveling,Great app to use while driving long distances to listen to and then revisit the visuals when in the office or at home. I listen while driving or traveling all the time.,EdwardRush,5,2.47
10/27/2018,Best thing in learning history,This is the best service I've ever used it paid for. The app is nothing less than premium. I would give more stars if I could.,Zaneflores3,5,2.47
10/24/2018,Select subtitles,Although it supports multiple languages. But the selection dialog disappeared so fast on web platform. And i can’t find similar functions on iOS platform,zhuofanxu,4,2.47
10/23/2018,Pluralsight is the best way to build your skills,"I’m an avid Pluralsight user for the past 5 years or so and the mobile app is a good companion to the website. The app is easy to use, doesn’t crash and helps me switch seamlessly between website and the app.",MailMaadi,5,2.46
10/17/2018,Learn learn and learn,"I have been a pluralsight lover for over 5 years now and most of my skills have come
from there. Best place to learn, best app and best experience.",Eritoelloquito,5,2.46
10/16/2018,Keeps me motivated,"It’s a paid service, so I feel motivated to use it to get my money’s worth. I am nearing completion of my bachelors degree in computer science, and I work full time. This has been a tremendous timesaver in exploring a wide array of topics for school, work, and my own curiosity. Definitely great for a beginner to intermediate level of experience. Only reason not at 5 stars is as of now the chromecast feature does not seem to be working.",igillenh2o,4,2.45
10/15/2018,Difficult downloading,"I love Pluralsight overall, but my primary use for the app is downloading courses to watch on the bus. I can't figure out how to download a full course at once. Having to click and download individual chapters of a course is annoying. 
Please add a ""download all"" button!",MothraTL,3,2.45
10/12/2018,My fav,One of the best tutorials with all leVels of information...,Shi'a shifty,5,2.45
10/12/2018,Works great,"I love Pluralsight and watch about a course a week. I watch about half on my Mac and half on my iPhone. In my experience, the app works flawlessly.",SQL Guru,5,2.45
10/2/2018,Great way to learn about technology,My employer provides the subscription for it. I enjoy watching professional videos on any new technology. This has been my goto learning platform! I hope in the future they can add ebooks options like safaribooksonline.,Vijayendra,5,2.45
10/1/2018,Always the best learning tool and platform,"A worthy content and authors delivering the details. Never missed my needed courses here. If I were to choose between LinkedIn leaning vs Pluralsight, this is always and ever be my go to preference. You pay either monthly or yearly or enterprise, but that will enable access to all the courses unlike sites like udemy, where even though the course cost is cheaper, it’s per course.",YrskAravind,5,2.44
9/28/2018,It was bugging me,Only giving it a 1 star because it must have some glitch that is forcing me to rate it. Pops up on every page. It’s actually a good app,ChiliFrei64,1,2.44
9/27/2018,Happy and Inspired,"I could not exist happy and inspired without your video training. The feeling of becoming educated fills me with inspiration and excitement for the possibilities ahead. If the project requires it, I will read a manual end to end. I do not however, retain information in the same way as when I see it demonstrated. I went to a four-year college and graduated with honors but I have learned more from your videos than I did with a traditional education, and all without testing. I have been watching your tutorials for at least 10 years now. I am almost to the point with Maya where I can create what I see in my mind’s eye, and then composite it in Nuke. It is one of the most exciting artistic peaks of my life. I recommend your company to all of my friends who are entertaining learning a new piece of software.

Lately, I have been enjoying the courses which show a variety professional effects like, Maya Dynamics: Common Effects Techniques because they show sophisticated situations that light a creative fire, as opposed to more basic demonstrations. Right now, I wish there were more courses on dynamics such as fluids and particles. I have watched all of what is available in that category.

Thank you for taking chances on bright teachers and investing in them for all of us.

Jesse Higman",JesseHigman,5,2.44
9/22/2018,Pluralsight is great!,"I was a user of CodeSchool and switched to Pluralsight when they were absorbed. The content is high quality and it seems they are expanding the interactive courses, which is my favorite way to learn.

However -
iOS 12 broke Chromecast streaming for me. I have multiple Chromecast devices and I can stream from other apps to them. The Pluralsight app at first did not have the cast button, now it does, but it prompts me for a pin each time and does not connect. I’ve rebooted all the things, uninstalled and reinstalled the app, but no joy.",Agent Arsenic,5,2.44
9/20/2018,Adding to channel,"Adding channel is not intuitive , could have been one click add.",Maulish soni,3,2.44
9/3/2018,Broken on iPad,"'authorize device' flow is extremely annoying and broken. I.ve ended up using the web browser after so many attempts to log on from the ipad app.And yes I have authorized my device, it shows in my devices under my account, nothing happens I keep being shown the same ridiculous manual steps when I try to sign in. I didn't want to write a review for this, but you don't even have a 'report problem' ux. Feels like you're assuming that the users are clueless and can only have questions.",supervix3n,1,2.42
7/19/2018,Pluralsight,Great learning tool!,Gillfish1,4,2.42
7/16/2018,App in offline Mode is terrible. Constantly hanging,"I downloaded several courses on my iPhone.  Everytime when I launch this app during long commute to work (without internet), the app will hang for a good 30 seconds before becoming responsive again. And if I go in and out of area with internet access, the app will crash from time to time losing my last position. Very frustrated.",Dn54,1,2.42
7/14/2018,App keeps crashing,The app worked ones. Haven’t been able to access courses since then because it keeps crashing. Useless.,Oxide8087754,1,2.42
7/10/2018,Don’t download and try from a plain or offline,"Update: unfortunately developer response doesn’t apply. I have a full subscription and all indications is it downloaded. My suggestion is after download you need to do a hash check or something to verify it’s playable...  

Downloaded videos for a long flight. Once airborne none of the videos would play. Get some mysterious Error 7009 which is useless to me. App support is scant at best.

So far this app has never worked on a flight well.",Cicorias1,1,2.42
5/28/2018,Great.,Thanks for this app and download option.,rashidul0405,5,2.42
5/8/2018,Can’t use or lock phone when casting videos to TV,It would really be nice if the videos would continue casting to the tv when my phone locks. I have to unlock my phone reopen the application and reconnect back to my chrome cast and start the next video. Also the videos stop if i leave the app. It’d be great if i could use my phone or lock it while the videos play like Hulu and Netflix do.,TSS-User,3,2.41
4/29/2018,App keeps crashing,I have downloaded a few videos to watch offline but it seems like every time I switche between online and offline mode the app crashes on me. It's happened almost 10 times in the last 10 mins. I've even restarted my IPad. Very disappointed with the app,Rrrrrroxy,1,2.4
4/11/2018,Still Testing,Like it so far.,vickybz,4,2.39
4/1/2018,Downloaded Courses,"I like the app very much! But why did i rate it 3 stars though! It’s the download courses. When I download a course, then watch a couple of videos in the app(offline) and return back to the app on windows they don’t sync! Even if I turned the wifi on after finishing. The same thing on the website it doesn’t sync with the app either. So what i had to do is to watch the downloaded course on the app while being online, otherwise videos won’t sync. So basically my progress is gone and i had to open every video again while being online to keep my progress updated. I didn’t try writing notes using the app (offline) yet. Put I hope they don’t have the same problem.",Abdo.F,3,2.39
3/30/2018,"Nice app, good content, some stability issues",Update: support suggested reinstalling to another reviewer. I can confirm it works. Previous review: I have a partner subscription through DataCamp that lets me use the beginner Pluralsight Python. I was thinking of taking advantage of then $100 off sale but the app crashes on launch.,Todd Gullion,3,2.39
3/30/2018,Access to course history and bookmark,"I normally access the site thru the web. And I have many classes saved in bookmarks and I also continue where I left off my classes by using the course history. Since the app does not offer either view. I had trouble finding the last class I was taking. Please fix this! Thanks!

UPDATE: I received a response from the developer for this issue.  I later realized that my LTE connection was slow when I launched the app which caused the history and bookmark not showing up.  A suggestion for the dev - if bookmarks and history cannot be launched on the “home” tab due to network issues, please add some UI hints so that users would know that these are not available due to network.  And thanks again for the quick response!",Youhong,5,2.38
3/29/2018,Content is lacking,"Beyond beginner content, there's not many options to really dig into a topic.  Plus the app stability is not what it used to be.",ReelDeal,1,2.38
3/19/2018,Doesn’t launch after update,Cannot launch it on my iPhone 6 after recent update,Oleg Sigach,1,2.38
3/12/2018,Crashes at every startup,Can’t start app without crashing in 3 seconds or less.,N/A 1234,1,2.37
3/9/2018,Can’t authorize my iPhone,When I try to connect iPhone to my company’s account it says ‘Could not initiate device authorization’,Abakari,3,2.37
3/4/2018,Seems like they’re just responding to complaints,"From the looks of the reviews nothing has change between versions. Still has playback issues at higher rates (and more confusing since the modules were downloaded). Google cast support is as janky as the app. Unfortunately it seems consistent across all their platforms. And please don’t respond with will attempt to resolve response . FIX THE APP. Your reviews have said the issues. Hell, make a course on how to fix it under the iOS path.",mrgrafix,2,2.37
2/15/2018,App was frustrating for awhile but has seen improvement.,"In my original review I outlined the many frustrations I was having with this app, however, it seems like a recent update has made the app much more stable.

The Pluralsight concept is great and there is enough material for multiple lifetime’s worth of learning as they cover a wide range of topics (database, IT, software, etc). I do wish the software development materials had a bit more variety at times though. If you’re a corporate business developer then there is plenty here, but outside of that there seems to be some fairly wide gaps or the materials that do cover said gaps are often out of date. 

Overall I do feel I get good value for the service.",Bass Steven DE,4,2.36
2/8/2018,Buggy expected more for a subscription product,"No problem with content, the app is horrible and freezes and loses track. Tried all possible workarounds without luck. This seems to be an issue with the control overlay on the video which causes it to freeze, not sure whether it matters but I speed up playback 

Considering dropping my 4 year subscription as I cannot use it on the go",ganja,1,2.36
2/3/2018,Great App! NOT!!,Good luck getting this trash to work.,Jimkilledclash,1,2.36
2/2/2018,App Crashes every time I try to watch course,"This app crashes literally any time I try to watch a course. It is completely unusable in its current state.  A few months ago it worked fine, not sure what changed.",SomeGuy326!,1,2.36
12/31/2017,"Very, very buggy","The iPad app is super buggy!  Here are a small subset:

Repeatedly, I watch 100% of a course, but the progress bar remains grey, both in course and on home screen.  There is no way to make it green.  This gets super annoying after a while.

In a course path list like Python, often when I view a course summary and go back, the sorting by difficulty level is broken and shows the wrong items.  Clicking one launches another different one.

If I drag scroll up all the way on the home screen where it lists downloaded courses, the app gets stuck in an infinite scroll bounce refresh loop.  I have to restart the app to make it stop bouncing.

Often when playing at 2.0 speed, the next module does not play. I have to return to course summary and start the module again.",Thisreviewsitesucks,2,2.36
12/29/2017,Great app when it works,"Pluralsight is a great learning source. However when I’m on the go I would like to use it on my iPad or iPhone. For my iPhone X it crashes each time I open it, on my iPad it crashes about 75% of the time. I’m fine with paying $30 a month, however it’s a bit pricey for a app that’s not working. If there isn’t a update soon I’ll have to cancel being I’m not able to use the service due to all the app crashes.",chriswhosoever,5,2.36
11/30/2017,Pathetic application and support.,"Pluralsight is a IT training company and ironically lacks the ability to create a stable iOS application that can be a backbone to their revenue stream. The current inexplicably deletes all the videos that I download once the application is garbage collected by iOS. I filed a ticket citing the problem, and after a couple of instances of communicate from Pluralsight, they went silent. No response whatsoever. 
I am proud to say that we deliver better service to more than a dozen line of business applications. Pluralsight really need to wake up to the competition and bring sincere improvement to their services and support.",Parakh Singhal,1,2.35
11/14/2017,All my videos deleted after update and progress not synced,I watch my videos during my travel to work hence have no connectivity. Was sad when one day the app decides to just remove all the content I had downloaded and I had nothing to do till I got some connectivity back. Also the progress I make in videos does not get synced back to the browser so I have to remember where I left off each course.,Musicalkats,2,2.35
10/17/2017,App crashes on Apple TV,It crashes continuously on Apple TV. Need better support & enhancements for Apple TV app.,Kampli,1,2.34
9/19/2017,New Release Crashes,The new release of the Pluralsight app version 2.30 crashes on iOS 10.3.3,Big Man On Kampus,1,2.3
9/6/2017,A quite poor app on iOS 9,"Sep 6, 2017: I just updated to 2.29 and the app won't start at all on iPad 3, it just keeps crashing.   This is the second time I experience this behavior after upgrading the app.

From the past:

This summarizes my experience running ver. 2.24 on an iPad 3 running iOS 9.3.5

1.  The app has the habit of exiting instantly (aka crashing).

2.  Hitting the Download button gives no immediate feedback that anything happened.  It takes tens of seconds for the icon to change.

3.  In this day and age, content downloading should be done on low priority background threads.  The downloading is multithreaded, but the UI thread is almost frozen during downloads.",eugen_nw,1,2.29
8/31/2017,Great upgrade,Clips load fast and in the exact spot I left them off now. So nice! Thanks for making all of the great updates so I can view the amazing content even easier.,Akaneo,5,2.27
8/31/2017,Can't play any videos,"I have an iPhone 7 Plus, I know my wifi is good and videos play if I log in through Safari but nothing will stream through the app. Pretty useless. The app is designed really well though.",tehon,1,2.27
8/12/2017,Always buffering,"I have an iPhone 7. I'm on good wifi. It downloads fine. But it takes forever to play a video because it is always ""buffering""! Please fix",Smallfry5555,1,2.27
8/1/2017,Solid,I enjoy the flexibility of learning on the go,Danutah,5,2.27
7/25/2017,"Good content, but app has issues","I can download and watch the videos, but I can't stream them on iPhone 7 Plus. Tried several different ways, and confirmed Wi-Fi was working, but I cannot stream - I have to download and watch on Mobile.",Smitty Abe,2,2.27
7/25/2017,Best,Best app on my phone. I wrote in about a bug a couple weeks ago. The big is documented as fixed in the latest release. Thanks guys and gals!,grover009,5,2.27
7/16/2017,Terribly buggy,"Chromecast support in this app is a joke. Almost as soon as you start to Chromecast the app goes back to the main table of contents screen. While the video does cast to the tv the video will eventually stop playing. What is sort of funny is that after the video stops playing on the iPad and starts playing on the TV it will eventually start playing again on the iPad so you'll have two out of sync videos playing.  

Downloading the video sessions to watch off-line, like on a plane for example, does not work very well. I have repeatedly tried to watch videos that I had previously downloaded on the plane but the app tells me that it cannot watch the videos without signing into Pluralsight. Well how can you sign into Pluralsight if you have no Internet access? Instead of spending my plane ride studying, I ended up watching downloaded movies on Netflix.",Chris P. OConnell,1,2.25
7/13/2017,"Video stream, download and search function is bad","The video takes very long time for search and to download, even with a good bandwidth 

However the course material is really good and meet review is comment is only for the app",rajeev9190,1,2.25
7/12/2017,Internet connection error?,I am connected to internet...but this app says I'm not.  Please fix,john_chi_maps1,1,2.25
7/11/2017,Unusable (revised:  usable upon reinstall),"This had worked wonderfully for me until recent weeks.  Now it just buffers or plays for a few seconds at a time.  Thought I could perhaps download content but my downloads never start.  Tried on several wifi hotspots and on mobile with same results,

Not sure what happened.

Shame because I really was progressing on the c# track.

Update:  I reinstalled the app and so far I notice no buffering.  Downloads appear to be working also.  Have no idea why reinstalling the app would achieve anything but I revised my rating because this app is pretty good when it works properly.",BillFromSanford,4,2.25
7/8/2017,Same experience with poor video playback,"As others have stated, good content and overall functionality in the app. The video playback makes the app unusable and I find myself looking for content elsewhere.",Dolphincracker,2,2.25
7/7/2017,Videos constantly buffer,"I love this website on a PC and the courses  but this app is horrible. Both on iPhone and iPad. Videos buffer every 5 seconds. Wait 10 seconds, plays for 3 seconds, buffers again. Endless loop. It is not usable. I can only use this app to look at what courses I want to watch on a pc",payneb,2,2.25
7/5/2017,Love the content. App is dismal,"Pluralsight is a great resource for training. This app is lacking features that the full web app offers and what's worse is that is is unusably slow. Videos take minutes to buffer. I just gave up and use safari to watch content.

Update: Added one star since the developers responded that they are working on improving the app. Will update again if I see improvement. I'm glad they are actively responding to users.",Ebrown17,3,2.25
6/30/2017,Great app works great,"A pleasure to use on iPhone 6s. I haven't encountered any bugs or other issues. Great job.

Update: the play/pause button disappears while watching a video and you can't pause it. Please fix this problems.",Unispectacle,5,2.25
6/25/2017,This app is great! It helps by giving a quick intro to the tech you need to hit the ground running.,This app is great! It helps by giving a quick intro to the tech you need to hit the ground running with your next project. I strongly suggest utilizing this app and website to help you grow your skill set or even just to brush up!,Georgie Henry,5,2.25
6/13/2017,Casting is very poor,"Casting to tv or chrome cast is very unreliable. It is slow, disconnects, and painful to work with.",Kar1009,1,2.24
5/29/2017,Fantastic!!,The app rocks.,nwheadon,5,2.24
5/22/2017,Chromecast issue,"I am having an issue when Chrome casting. While it's streaming to the tv if the phone screen turns off it will continue casting, which is fine, but when I turn the screen back on, the app acts like it's not casting. Pressing play for example, will then start the video on the phone while it's still playing on the tv. This requires me to resetup the cast causing the video being casted to start again. This bug only occurred rarely before the update but happens every time now. Temporary solution of course is to not let the phones screen turn off and to never switch apps. Hopefully this can be fixed soon. Cheers and thanks for a great app and service! (5 stars cause I know you'll look into this)",ctdewberry,5,2.23
5/17/2017,Not a bug...,"I love this app... it is super helpful having tutorials play on my phone while I work on the computer... one of the BEST things about this app is that it continues to play outside of the app... so if I need to check something on my phone I can still listen to what the people are saying... however in the latest update y'all ""fixed"" this ""bug"" so I'm not updating to latest version unless I have too... however still a great app!",Xzert,5,2.22
5/16/2017,Easy to use,Pretty solid app to use while in transit (rather use this and learn something over melting my brain in mindless apps),RVAtester,4,2.19
5/13/2017,Love it,I browse while I travel and just watch the videos. Love the notes feature and they fixed the crashing bug which was good.,The Truth About Greek,5,2.21
5/13/2017,Best training available,Pluralsight brings together the best trainers to provide high quality content. Pluralsight makes is less daunting to keep up with the pace of change of technology.,Joseph Fluckiger,5,2.21
5/10/2017,Much improved,Useful on both my iPhone and iPad. Now downloaded videos work without interruption while flying,kilgoremoor,5,2.2
5/10/2017,Crash on Startup,Used to really like this app. Latest version crashes on startup.,Warden Morgan,1,2.2
5/6/2017,Impressed,I never thought someone would resurrect RealPlayer... buffering...,jpx86,1,2.19
4/25/2017,Great Option on the Go,Pluralsight is awesome. Love that the app allows me to take it with me. I have not had any issues streaming content. The app works as intended.,digitalXLjunkie,5,2.19
4/18/2017,Offline mode barely usable,I use this app only during commute which involves  subway. The app constantly stalls even when I babysit downloads. It also randomly prompts for login (which means no use in subway). I gave up on it and switched to front end masters app which works much better in my use case,Soulsonic1234,5,2.19
4/10/2017,Chief solutions architect,One of the best training solutions around. We used it extensively.,Redpaddle,5,2.19
4/7/2017,"Terrible app, indeed!",Please fix...,Denekew,1,2.19
4/4/2017,Great resource,"I have not had any problems like a couple other viewers have mentioned, on my iPad 4 and my iPhone 7 plus. The product works well and Pluralsight has great content that is well worth the $29 a month. The app also quite nicely allows you to predownload courses to your device so that you don't have to use data when you are out and about.",fiziksphreak,5,2.19
4/2/2017,Please Improve,"If I push pause on my iPad 3, the video will not resume after pushing play. I receive a black screen. The entire video needs to be reloaded every time. I take a lot of screenshots for notes so this makes the app almost unusable.",TaoEntropy,1,2.19
3/28/2017,Terrible App,"I love the Pluralsight content, but this app is garbage. I couldn't get a single video to play. Stick to the website and don't waste your time on this dumpy app. So disappointing...",Shtooogurt,1,2.19
3/11/2017,Cannot search,How come I am not able to search?,Very good poker game,2,2.18
3/8/2017,I wish six stars was a thing.,"Every time I hear someone mention an interest in programming, I recommend Pluralsight. I can't think of another product or service...of any kind...that has ever given me more value for my dollars.",Chadivision,5,2.17
3/7/2017,A few requests,"I love this service and the content is high quality. A few requests I have: 1) allow me to download lessons offline like Netflix and YouTube do. This is especially helpful because anytime I travel I like to use that time to learn and don't always have an internet connection suitable for streaming. 2) add more content around docker and kubernetes. 3) if #1 is possible, make it easier to discover because it wasn't obvious to me. 4) send coupons to people who leave reviews in the AppStore even though it's against Apple's TOS. I won't tell if you don't 😇😉",❤️,4,2.17
3/6/2017,Best online professional training service,"While the app is far from perfect the content is the best video content bar none. I wish it it was less MS centric still, but regardless the best service I know and pay for personally.",Mirko Geffken,5,2.17
3/6/2017,A Paradox,"A company that provides solid content related to software development has a mediocre mobile app. Go figure. Regardless, Pluralsight is a great service and I've been a subscriber for over 5 years. Highly recommend.",DW_Roth,3,2.17
2/23/2017,Hate the app but love the desktop version,App is too slow,Mrudrara,1,2.17
1/26/2017,Great content. Buggy app.,"The content is great. The app drives me crazy. The buttons are too small, so it tries to play the video when I'm trying to download. They have hidden the speed control so you have to swipe down to see it, but sometimes it doesn't open or opens several seconds later. And worst of all, I have an Annual Plus subscription and pretty much only use the app instead of the web site so I can download videos and watch them when I don't have access to Wifi. However, lately I guess they have gotten aggressive on timing out the authentication token, so now I frequently get the error ""This module isn't available under your current subscription"" when I try to watch a downloaded video. Once I get wifi again, then it lets me play it.",Garl Grimslade,4,2.17
1/24/2017,"Good app, but signs you up for automatic renewal","I have an account with Pluralsight on their web site, and was happy to see they came out with this app, so I can study on my iPad when I'm out of the house. I pay month-to-month on the website, since I don't always need it, so I might pay for a month, then not pay for several months. Auto-renewaal is disabled on the website.

However, I downloaded this app, logged in, and since my web-account status was ""not subscribed"", I was prompted to pay my $30 monthly fee to re-activate my account, which I did. I used the app and studied for an exam, and was wanting to let the subscription expire at the end of 30 days. I even went to the web site and made sure ""auto-renewal"" was unchecked. 

Well, this morning I received a receipt from the Apple Store for my $30.00 ""auto-renewal subscription"" fee from the Pluralsight app! I went through the entire app looking for a way to access my account/subscription settings, but there is nothing there. I finally had to call the Apple Store, wait on hold, and be walked through the process of going into my settings, then ""app store"", click my user id, click ""subscriptions"", and there, lo and behold, I see I was signed up for ""automatic renewal"".

I contacted PluralSight and they showed me that the app, when you sign up, the default is set to show ""Subscription Terms: This Subscription will Automatically Renew Every Month for $29.99"", and then there is another button after that to confirm, which states ""Confirm Subscription - This subscription will continue unless cancelled..."" So to be fair, there are two warnings/confirmations, and as usualy, I probably just clicked them and forgot about it. Luckily, Apple cancelled the transaction. It was all my fault, but it's like...they are signing me up for automatic renewal and not giving me to option NOT to. Now ""I"" have to go to settings and unsubscribe. I don't know it that is Apple's deal or Pluralsight, but I know when I purchase other ""In-App Purchases"" in apps, it is a one-time deal.

That all being said: I like using Pluralsight and this app, I get a lot of info out of the videos, and will most likely use it again.",Classic Punk,4,2.17
1/17/2017,"Great content, bad app",Really great courses. Love them on the desktop. App is slow and doesn't load video many times.,Kauaimusic,2,2.17
1/16/2017,Love this content!,The courses cover the latest technology and are presented by industry leaders.,Thorckjr,5,2.17
1/5/2017,The best in its class.,For beginners all the way to the experts.,hutch9000,5,2.17
12/4/2016,"Good app, no more individual downloads?","After the update, I can't figure out how to download course episodes without downloading the entire chapter. Please fix.","Acchcghc,vuvgyfcctyfycugtu",3,2.16
11/29/2016,Love It,I got a free membership from Pluralsight and this makes it even better because I can now go anywhere and continue studying. :D,_Sasaki_,5,2.16
11/12/2016,Good Value,"Pluralsight is on the expensive side.
I believe it is worth the expense if you put forth the effort to learn.
The class selection is good.",MillhouseD,5,2.15
11/6/2016,Experts World.!!,"I am always a beginner for technology, it's a very good place to give a try, less cost and one stop for most of skill sets interested in development with updated versions, the best way of modular approach learning provided excercise files by authors. Awesome fun learning loved it..!!",Nash Rampy,5,2.15
11/1/2016,Good value,I love Pluralsight. For the money you get tons of choices. Plus they are much cheaper than others. Great for professionals trying to add to their skill set. Keep up the good work!,StevenMacDonald,5,2.15
10/30/2016,Great update!  Keep the content coming!,"Latest update is fantastic!  I've been waiting for an update to make the paths easier to use on mobile and this really does it.

To add the download experience is MUCH better than previous versions.

Only request would be to ensure the path courses are up to date, some are good but a bit aged if you will :)

Keep up the great work, Pluralsight!",BMay1,5,2.15
10/29/2016,Great application design,I like how they have incorporated all of the web site functionality. Great user experience in reliable app. Excellent job!!!,Cuba_PR,5,2.14
10/27/2016,Great experience!,Works exactly as I had hoped.,Iamdrm,4,2.14
10/17/2016,Rebooting my phone solved a lot of my issues,"The app is finally working for me. I am still a little concerned there is some recurring issue with video playback in general that seems to be fixed by a reboot. Streaming videos seems a tad slow still but downloaded videos work real well. No complaints other than that. UI is good, etc.",Three88bu,4,2.14
10/17/2016,Unusable app,Videos are too too slow to load. That makes this app unusable. The pluralsight web app works really well. Videos load instantly and smoothly. They need some serious work on this app. 1 star for failed effort.,PhucNguyen12,1,2.14
