Date,Content,Rating
3/2/2019,"It's convenient to use this app at any time in any location. Possibility to download and watch offline courses it is very useful for me, when I'm traveling. I love all new features in app. Highly recommend!!!",5
3/2/2019,nice,5
3/1/2019,passed my MCP : Office 365,5
2/28/2019,"During online streaming application hangs frequently and error is displayed, worse is application gets into offline mode, need to force kill and restart app to make it work Again.",1
2/28/2019,Using for java J2EE Developer learnings .. It has got really very courses..,5
2/24/2019,it's good...,5
2/23/2019,Pluralsight provide best content for learning.,5
2/23/2019,"it sucks, app gets hung. I need to close the app and reopen to jump into another module or section of the video. It gets hung after finishing up one module. I can not even hit onto next icon to jump into another section of video.",1
2/23/2019,High Quality Content and Amazing Selection,5
2/23/2019,"I am a huge fan of your channel feature. Just a suggestion, allow us to add custom image for every channel",5
2/21/2019,i have learnt a lot of new technologies like docker/ kubernetes / linux/ spring/ Azure with excellent courses on this portal.,5
2/20/2019,"Download failed, every time. Tried tweeking settings but nothing works.",1
2/19/2019,great app,5
2/19/2019,excellent,5
2/19/2019,Not able to download course files. Fix it ASAP,1
2/17/2019,as an avid learner I absolutely love it. This app gives me access to the incredible pluralsight video database along with engaging quizzes to ensure concrete retention. I absolutely recommend this to everyone!,5
2/17/2019,"Chromecast support FTW! Pluralsight's offerings are tremendously useful. On the Android app their excellent service is complimented with casting support for both video and/or audio only, ie Chromecast, Google home and other smart displays. I couldnt be happier with the usefulness of their app and courses.",5
2/15/2019,won't let me stream on my phone without wifi despite changing the settings to allow,1
2/15/2019,Much improved app.,4
2/12/2019,disabling 'require wifi for [...]' changes nothing and videos still require wifi. quite annoying since I'd like to watch some videos during my morning commute,3
2/12/2019,Wonderful app. well maintained. And there is no discomfort in this app also its exactly same as website.,5
2/10/2019,constantly have reinstall on android before i can view content. irritating. ... having to reinstall again and noticed their request for me to contact them on 8/feb.,2
2/9/2019,"Online streaming works well, but it hangs and crashes all the time when watching downloaded course material.",2
2/7/2019,App works very well. I have used PluralSight for two years and i use this app often.,5
2/7/2019,not one course is playing.. keep on saying check internet connection. i am using one plus 6t along with 75mbps plan..,1
2/7/2019,"unavle to play any videos at all. online or offline, always says the same error.",1
2/6/2019,So many bugs and I am not able to watch videos properly,3
2/6/2019,excellent,5
2/6/2019,"Indispensable for IT professionals. Courses are top quality. Plus, if you want to learn a lot from multiple fields, the cost of individual courses on other platforms adds up.",5
2/5/2019,captions are not displaying after switching them on from the cc button. please fix as I want to learn but don't have my earphones with me :(,4
2/2/2019,"Much improved, nice experience.",5
1/31/2019,I was not able to rotate the screen to landscape mode on my Samsung Galaxy Tab S2 tablet ☹,5
1/31/2019,I would give a 5 star but app doesn't work well offline.  I often watch my downloaded courses on the tube but when I click downloads I have to wait about 3 mins.  It's like it's trying to get online and a timeout is kicking in.  Then Finally I see a list of my downloads and click a course and then again an annoying 3 minute wait watching the spinner,4
1/31/2019,Wonderful explanation ... Love the dark mode more than anything !!! But course download and download speed sucks !!! Stucks often when downloading and I get a notification download cancelled for no reason !!!,4
1/31/2019,Feedback has been heard and contents are great.,5
1/30/2019,I am giving 3 stars just to Pluralsight and the app after the last update has become pretty bad. If I am using my phone with auto rotate off then I don't see any option to change the course slide into landscape mode. When watching course if I swipe down the presentation scrolls downward and there is no direct way to restore it back. Same is the case when I move to my home screen leaving app minimized then if I go back into app it shows black screen again there is no direct way to bring it back,3
1/29/2019,It is a good learning platform and the courses are structured.,5
1/29/2019,"worth every penny. I would have been screwed without it, when I started my new job",5
1/29/2019,am unable to download the app..any issue,2
1/29/2019,why downloading not working?,2
1/26/2019,"after suthorizing device nothing happens, the only thing that i can do is to go back to login page",1
1/26/2019,"covers most subjects I need, with reasonable breadth.",5
1/26/2019,You ruined your app again with the latest update.,1
1/26/2019,"I'm not sure what they've done with the latest version, but they seem to have removed the option to pick which videos within the course you can play unless you are in portrait mode. In the video player there used to be a menu on the right that you could swipe in to pick a new video. Please put it back to how it was!",3
1/25/2019,pretty stable.,5
1/25/2019,Great content,5
1/24/2019,"Horrible user interface, re-add the full screen button.",1
1/24/2019,good content,5
1/24/2019,"last update: UI is good, but the video player is worse than before. There's no fullscreen button, when I swipe my screen from above (see battery, notif, etc), the player just auto-hide. That's awful. Beside than that is better. Thanks",3
1/23/2019,Lovely design and easy to use,5
1/23/2019,i have chosen external card as the storage location for downloads but it still comsumes internal memory.,2
1/22/2019,Appears to work properly when streaming. Update: plays fine off- and on-line now. would be nice if you could add notes and bookmarks at specific times.,3
1/20/2019,I've subscribed to Pluralsight for years. The courses are thorough and typically well made. Very happy with their service.,5
1/19/2019,"Pluralsight is a great service, but casting to Chromecast in this app is buggy (does not go to next video if the phone screen went off, restarts video as app is refocused,...) and this renders the app pretty much useless for me. Edit: As beginning of 2019,I'm noticing this issue resolved and hence increasing the rating!",5
1/19/2019,"Nice training, well organized. Despite the paradox of offering some of the best developer courses out there, my only shock is the extreme minimalism and lack of engaging and interactive features to finish up the job on preparing all the trainings and learning paths. To be honest, you can feel the deep dev roots without marketing and creative design teams near, if you compare with the radically different approach of LinkedIn learning. Contents 10/10, presentation needs an extra push. Keep going!",5
1/18/2019,courses/content are getting slowly better.,4
1/17/2019,best educational apps,5
1/17/2019,Link to login using company id not working,1
1/16/2019,It is simply brilliant platform to explore and learn things.,5
1/15/2019,"cant sign in. Every time I tap on the email field to type in my email, the app just shuts down.",3
1/12/2019,Nice platform for everyone in software development,5
1/11/2019,Awesome app,5
1/11/2019,very useful,5
1/4/2019,Super content. And Perfect streaming quality.,5
1/4/2019,great platform,5
1/4/2019,very nice app,5
1/3/2019,"POOR QUALITY and VEEY LESS QUANTITY of content , I am your annual subscription member and now i am very disappointed about my decision of purchasing annual subscription , You talking about android and software development path and there is almost nothing course about Kotlin language..Its been now 1 years since kotlin become official language of android , and your platform pluralsight doesnot even have any quality course about kotlin and its uses In Android Path , I need my refund ASAP",1
1/2/2019,the app works fine on my Lenovo phone but on my Samsung tab 3 it has started showing error &quot; wifi required for streaming&quot; even though the Wi-Fi is working and I am able to run other apps like YouTube .,1
12/30/2018,Course contents are very well structured. The course player has multiple control options. Quality of the content is very good.,5
12/29/2018,Nice,5
12/29/2018,Exceptional training platform. Everyone in IT should use Pluralsight!!!,5
12/28/2018,"Good app to learn any IT related courses...however add quuckly latest angular and web trends, devops,. ELK and more..",5
12/28/2018,Good place to learn and improve your career,4
12/28/2018,good,5
12/26/2018,Quality resources for Information Technology,5
12/19/2018,All seems good. But not. Able to download content for offline use. Tried using both storage options.,1
12/15/2018,App is not User friendly and fast....Also shows pop as error occured.....,1
12/14/2018,Best,5
12/13/2018,Good for candidates that want to self learn,4
12/13/2018,"its doesn't have adjustor for resolution, tendency? in the country like philippines which net is so slow every time i have to play my course it always buffering",3
12/13/2018,"Some of these teachers are completely out of touch with reality. The introduction video to one of the courses stated that I needed a computer with a minimum of 16 but preferably 32 gigs of RAM. My phone has a better and faster processor than both of my computer's, as well as more ram overall, and none of these devices comes even remotely close to 16 gigs of RAM, let alone 32. Does he even know what these corporations sell us regular people? They don't start us off with sixteen gigs of RAM dude. Commercial businesses are trying to make money, not sell us high quality electronics.",1
12/13/2018,Changing orientation while watching videos causes error,4
12/12/2018,It's nice to see,4
12/11/2018,Really helpful App,5
12/11/2018,Nice App,5
12/11/2018,"The app had serious bugs on my Huawei Mate 10, the app will not recognise downloaded videos and always attempts to stream the videos even after downloading the entire course. I'd rate this a 5 star if the bugs were fixed since the service itself is amazing, but I can't even use the app as it is right now.",4
12/10/2018,Very good and useful,5
12/10/2018,Great content for coders,5
12/9/2018,Really helpful,5
12/6/2018,Very Good app. I moved away from the browser version to the android app version for ease of use. However I noticed that the exercise files are available for download on browser versions and not on android app? Any particular reasons for restrictions on app?,5
12/4/2018,"App is good. However, I'm unable to view my company's channel. I'm also unable to reorder courses in my own channel. Both are allowed via website.",4
12/3/2018,Fantastic resource for self learning I am a Software developer and pluralsight is an excellent resource that I have been using to expand and develop my skills.,5
12/2/2018,Excellent platform for learning. I really love the way courses and course content are designed. Special thanks to Janani Ravi and Vitthal for their video training sessions.,5
12/2/2018,Good place to learn new technologies right from scratch with hands-on examples..!!,5
12/2/2018,I love the angular course in pluralsight,5
11/28/2018,badly behaved app. keeps 'initalizing' and causes Android to pop up 'pluralsight is using battery'. Ironic that a training site has a poorly made app.,2
11/27/2018,love the black Friday deal,5
11/26/2018,"Pluralsight maintains a high standard, and they have my respect",5
11/26/2018,Awesome for all the professionals,5
11/25/2018,PluralSight is awesome! The app is perfect for learning on-the-go!,5
11/25/2018,"The player is unreliable, especially with Chromecast. It's also frustrating that it doesn't remember where in a clip you watched to. So by resuming you are usually not where you left.",3
11/25/2018,A comprehensive collection of specified tutorials,5
11/25/2018,I am going to start my journay of android developer through this I think it should be helpful,5
11/24/2018,The Pluralsight platform is excellent. Full of great content and easy to use and find. Seamless transition from desktop session to mobile.,5
11/24/2018,There are issues when you try to save courses offline - some throw an error,4
11/24/2018,Excellent for learning,5
11/23/2018,You can download the content and watch it later no internet connection required.,5
11/23/2018,This site is the best,5
11/22/2018,Nice,5
11/21/2018,Amazing Content Quality,5
11/21/2018,Content is excellent...value for money..infact content delivers more than expectations...only one thing I would like to see in the app is deep linking amongst all devices and logins..,4
11/21/2018,Very good and helpful for anyone who does this for a living or hobbies.,5
11/20/2018,Very informative and comprehensible,5
11/19/2018,"A great App for developers, PMs and more",5
11/19/2018,Very very good,5
11/18/2018,I like Pluralsight because of the specialised in depth courses.,5
11/17/2018,App would have been great if only it doesn't crashes half the time. Always fails to load the next video and I have to restart which is very inconvenient,3
11/16/2018,Like it.,5
11/15/2018,Very good app. It works fine on all my android devices.,5
11/15/2018,"New version looks nice, but has tons of bugs... Old version was slow but at least basic offline features were functional...",4
11/13/2018,Perfect application,5
11/12/2018,"Hi, it lost the capability to auto play to next screen. The timer keeps on moving fwd. Eg : for 1 min video, it keeps on ticking after 1 min",3
11/12/2018,It's very user friendly and helpful..,5
11/12/2018,Excellent learning portal,5
11/11/2018,"works well on my device, but only one problem so far that the latest version cannot play next video automatically, I have to click next every time. older version didn't seem to have this problem.",5
11/10/2018,The offline mode is really not working for me. The downloaded videos are not playing. Displaying some error message. This is the second time I've tried it,2
11/9/2018,Great app better then the ios version,5
11/9/2018,A great website for personal development,5
11/9/2018,It's useless. It doesn't allow me to use it on LTE. Has to be connected to WiFi which defeats the purpose of being used on a portable device. If I can use WiFi then I can use a laptop. Why bother with an app on a dinky cell phone screen? Stupid,1
11/8/2018,Cool....,5
11/7/2018,Good app... ...but I can't seem to be able to log out of the app.,3
11/6/2018,"Excellent product, and great content.",5
11/5/2018,Good subscription to keep yourself updated always!,5
11/4/2018,Can't say enough about Pluralsight. Just keep going.,5
11/4/2018,One of the best apps that you can use to solo educate yourself at its finest!,5
11/2/2018,Good,5
10/31/2018,Website and application is slow down sometimes.,5
10/30/2018,Happy Learning😊,5
10/30/2018,Fabulous Content,5
10/29/2018,Nice app would be nice if users can change app background color to a preferred color,4
10/28/2018,Nice,5
10/28/2018,Excellent app to grow in your career,5
10/27/2018,This app have some bugs but I like it. Useful for learning.,1
10/27/2018,Educative,5
10/26/2018,The download section isn't functioning,3
10/25/2018,Very very good app. Thank you!,5
10/25/2018,It's a best learning tool for beginners to experts...,5
10/25/2018,This is the awesome site to learn or to enhance your skills as much as you can.,5
10/25/2018,imho this is currently the best learning plarform,5
10/23/2018,Awesome ...! My Favourite platform for online learning and Great User experience with Pluralsight app and Website too. The Content is also in depth and amazing. You guys are providing awesome service in every aspects. Totally Spectacular 🔥 Love you Pluralsight ❤️,5
10/23/2018,Awesome,5
10/22/2018,Awesome,5
10/20/2018,Thank you pluralsight....learned a lot from you... I have improved my self...,5
10/19/2018,Search option not working at all. Please look into this issue.,1
10/18/2018,Best app,5
10/17/2018,The definition used is very good and the size of the texts is ok whatever the format of the screen. Good Job!🤗,5
10/16/2018,One of the best learning platform. Liked it .,5
10/16/2018,"If video quality controller can be added, that would help people with low speed internet connection watch videos without interruptions.",4
10/15/2018,"There could not be nothing better than this, covers a lot of topic and in depth.",5
10/15/2018,I'm learning Big Data technologies like Spark and Structured Streaming from Pluralsight. It's amazing.,5
10/15/2018,Perfect for learning,5
10/11/2018,The app doesn't work on mobile data which is pointless for an app to be used on the go. In theory you can change settings to enable this (as others commenting o this issue were advised) but it seems that even after changing the settings videos still cannot be played on mobile data.,3
10/11/2018,Excellent learning tool. It gives everything to become an expert in the subject.,5
10/10/2018,If I open a video and go to another app it starts the video from the beginning without resuming.,3
10/8/2018,Wonderful app by pluralsight. You are doing amazing job by introducing handy courses in all different areas. Offline downloading does not work properly sometime otherwise I like all other bits within the application.,5
10/7/2018,Awesome app,5
10/5/2018,Application hangs on notch display,1
10/4/2018,Learning App with simple and clear design for best learners experience.,5
10/2/2018,This app needs Wi-fi to run it's video. Now if this is a mobile app you're expecting it to run on mobile data and not wi-fi. This criteria defeats the fundamental purpose of using the app,2
10/2/2018,"The app improved very much in the last months. I like it. Just would like to be able to see, which bookmarked courses I have already watched. I have hundreds of bookmarks and cannot keep track which ones still need to be watched...",5
10/2/2018,I love the app,5
10/1/2018,Great app to learn IT trends and all sorts of IT Development,5
10/1/2018,It's nice,4
9/30/2018,Good content and contain information even relating to small stuff/tutorial also.,5
9/30/2018,Perfect for public transport:),4
9/29/2018,"Doesn't let me stream videos when i am connected to a mobile wifi hotspot, app complains that i need a wifi connection, even though i have full internet access over wifi. In fact i am submitting this review over the hotspot that pluralsight app wont let me stream on.",2
9/27/2018,I can't download course.,1
9/27/2018,Saved my fingers,5
9/27/2018,nice,5
9/26/2018,"Easy Access to the content, pick up where you left off.",5
9/25/2018,Better than actually going to school.,5
9/24/2018,We wish to have audio mode when I just want to listen. Udemy mobile app has that feature but I love pluralsight in some areas and Paths.,4
9/24/2018,Keeps crashing when i skip forward or back. Reaaaally annoying,2
9/24/2018,You literally had one job: play videos. Playback is a buggy mess requiring constant restarts.,1
9/23/2018,"way to many bugs. cant put the video fullscreen, cant select the time to start the video, can't switch between apps because when I come back the video does not play and got to start it all over again...I just keep finding bugs",3
9/23/2018,"Brilliant platform to learn new technologies. And the paths are the best feature of the platform, enabling to learn from basics to advanced topics in a smooth transformations .",5
9/22/2018,Gets stuck on &quot;Checking Permissions&quot;. Five stars if it works again.,5
9/21/2018,"unable to download course for offline viewing after downloading latest version. is there some bug... in latest version the notification says download complete, but i can't find the downloaded course",2
9/21/2018,The app doesn't save it's state when rotate and the video begins from the start again,3
9/21/2018,Download is not working in latest version,1
9/20/2018,"while playing videos over wifi if do backward, it will stuck then need to restart the video, which is time consuming specially when you are updating notes while watching course video.",1
9/20/2018,Good,4
9/19/2018,Its a best learning app from microsoft. I like it.,4
9/19/2018,Very useful,5
9/15/2018,"When resuming watching a course, it starts the lesson from the start of the clip and not at the place where you left off. Not very user friendly.",2
9/14/2018,Amazing to learn new things and the user interface and experience is very intuitive.,5
9/13/2018,I always get this error &quot; An error occurred when playing next video&quot;,3
9/11/2018,"Best content examples I've ever experienced. This app have tons of many tutorials, from beginners to advanced levels. I would always recommend this app for developers and for the people out there who want to learn how to program and create fabulous applications.",5
9/11/2018,I love pluralsight. I spend a lot of time commuting and the app allows me to download content and keep up with new technologies or learn something on the go,5
9/10/2018,"For all IT pros and Devs out there, this is one of the best platforms to learn numerous technology. All new courses gets added regularly at a very affordable rate. GOOD WORK PLURALSIGHT!",5
9/10/2018,Learn on the go!,5
9/10/2018,App has all sort of problems as reviewed by all users. Please do notify me to download after you fix it.,1
9/9/2018,Awful in terms of usage over cellular network,1
9/9/2018,Error while trying to play the videos,1
9/8/2018,Too many bugs and very bad user experience. 1. No video player plays the video when you turn off the screen. This app plays video in background!! And there is no setting to turn this off. 2. It always resumes the video from the beginning ! 3. Doesn't show rating count. just shows 4 star or 5 star! How do I compare two videos on same topic if I don't know how many people have given a thumbs up!,1
9/6/2018,Awesome learning app. May be they can introduce fees per course instead of paying for subscription every month,5
9/6/2018,There is a WiFi bug. It kept saying wifi needs to be enabled when downloading module but my WiFi is on. Workaround this by disabling/reenabling wifi. I am using Google Pixel and i know that wifi is working because i was able to access Youtube videos. I also ran into issues where i need internet to access the app to watch downloaded videos. This isn't helpful when i am on the plane.,3
9/6/2018,Fantastic app,5
9/5/2018,"Now the problem is solved, and works fine thanks for your quick response",4
9/5/2018,Autoplay only works if I keep the app open. If I switch apps I have to switch back to pluralsight for the next video to play,4
9/4/2018,App is good. But has one major problem. It stops once i go for full screen mode. It does not play at all.,3
9/4/2018,"Excelent app for taking small courses on the ride. I really like it. Use it on the Bus, Subway, Taxi, on the Plane. Love it!",5
9/4/2018,I just love it,5
9/4/2018,"It's saying network problem, I want this app developer to know that there is a network problem..",2
9/2/2018,It's not browsing videos in my phone,1
9/2/2018,Awesome!,5
9/1/2018,"App has improved a lot, but still stalls too frequently. Stalls appear to happen at fixed points in videos. When you have identified it, you can avoid it by skipping ahead a few seconds before past that point. Should be better.",3
8/31/2018,Just Amazing ❤,5
8/31/2018,I can't learn anything from this because once I select any course it's showing please check your internet connection but my internet connection is good,4
8/30/2018,Please make this app fluent every time i try to click on software development courses it says internet connection problem BTW i am using fast 15MBPS,3
8/28/2018,Would be great if this app has a streaming facility to normal smart tv,5
8/27/2018,Best learning app.,5
8/27/2018,Great !,5
8/27/2018,Great job!,5
8/26/2018,Extremely well .. I can suggest this one,5
8/21/2018,I am very disappointed with the pluralsight application as earlier I was authorised to view any courses for 60 days for free but as I was persuing the Angular path...I am stuck in between as everytime I try to access the course videos I receive a popup saying I am not authorised to view this course...,2
8/21/2018,Really adds value to having the membership as you are not locked to only using a browser. Also the download feature makes it worth more as you can view the videos even in a place with low or no connectivity.,5
8/19/2018,Among the very best learning platforms out there. For 35 dollars a month. Insane value.,5
8/18/2018,Awesoem tnx,5
8/15/2018,"The app is great, except for skipping through videos as it will often freeze, you then need to start the video again. Using the skip back/forward 10 secs is more reliable but still causes a freeze sometimes, even if skipping slowly to let it catch up.Very frustrating.",4
8/15/2018,Well worth it!,5
8/15/2018,Really improved great app right now.,4
8/15/2018,Like it,5
8/14/2018,Wish there was a way of reading and making notes per video like the website offers.,3
8/13/2018,"Need video decoder fix, video stuck issue",1
8/13/2018,"Finally, &quot;resume course&quot; option is available.",4
8/13/2018,Updated to 5 stars because of quick response from developer.  Great content. Courses are easy to follow and table of contents makes it easy to track progress.   I would like single tap to play/pause. Double tap to jump forward and back. I can't find mobile subtitles still.,5
8/11/2018,Awesome,5
8/10/2018,Thanks for you,5
8/8/2018,Good app to learn if you are on corporate subscription . Course progress not reflecting after update. Glitches cleared after re-installation.,5
8/8/2018,Great mobile app overall,5
8/7/2018,Nice app. I use it for all my learning offline,5
8/7/2018,The best e-learning app out there!,5
8/6/2018,The app always leads to error,2
8/6/2018,"Confusing access requirement. My organization has provided free access to pluralsight courses. When I come back to a couse I stopped half way, it tells me the course is not included in the plan. Wasted lot of time sorting out access issues than learning. Not better than free courses on YouTube anyways.",1
8/5/2018,There are lots of issue with the app. 1. On continuing with course it starts from begin rather than continuing from where I left the course. 2.In older version full screen mode which used to hide menu in moto phones does not work anymore. I am not sure in which version it stopped working. 3. When you are in the middle of video and you move to landscape mode video starts from beginning. Rather than continuing from where I switched the mode.,2
8/3/2018,"I used a lot of apps like Tree house, Udemy, Udacity, Edx, Coursera and others but none of them provided deep knowledge like plural sight. *The app doesn't have any bugs like Tree house or Udacity. *You can get 2 months free trial. *You can download the courses. *The way instructors teach topics is very good in PS. But in Udemy they teach topics less deeply and also slowly. *If you learn any course you will definitely gain full knowledge on it.",5
8/3/2018,Good app,4
8/3/2018,I love Pluralsight. The content is so accurate. Very nice interface.,5
7/31/2018,Very useful,4
7/30/2018,Issue with progress tracking fixed in new version but requires signing out and signing in:-),4
7/30/2018,Cant we sign with our general emails and create passwords iam not clarity about sign in process,5
7/27/2018,Great resource for any it professional.,5
7/27/2018,Nice interface,4
7/26/2018,Each restarting needs to be killed to watch the lessons.,2
7/26/2018,"Use to be good before, but now it just seems to buffer a lot for 4g connection, the connection is more than enough for steaming, still buffers a lot, try improving for the sake of the People who would want to learn on the go.",2
7/26/2018,Fraud behavior.... Charged 40$ without informing,1
7/26/2018,Where is the subtitle option in the app,2
7/25/2018,Please add your app in minimise option like YouTube,5
7/25/2018,Good,5
7/24/2018,Best self study app,5
7/24/2018,Update: it's clearly getting better but more work is needed. Now the app doesn't seem to remember where I have left off. Fix that and I'm a happy camper,3
7/23/2018,"I want to use the app to watch your content offline, but it needs an internet connection to watch it.. realy?! Please provide downloaded content without any internet connection (air plan, train...)!",2
7/23/2018,Good material but some part of it has to be made public for audience who cannot afford to pay,5
7/23/2018,"Great content. Nice option to download and watch when you're offline. The current version does not mark clips as completed with in the app, but the web site does show as completed.",4
7/22/2018,"Would be a decent app if I could use the content I downloaded. Unfortunately, after downloading a course it appears as I hadn't and I'm not able to stream it since the connection isn't good... As far as I can see, I'm not the only one with this issue so please help us change our thoughts and fix these things. Update: also, the course I'm trying to watch on a bad network just got interrupted and now I'm not able to play from the module I was at. It only plays from the first module",1
7/20/2018,Very helpful,5
7/20/2018,"I have fiber optic connection and its really fast, its always buffering for a long time, even in the middle of the video. This is so annoying.",1
7/20/2018,Can't get the rewind and seek to consistently work. Keeps crashing the video playback,2
7/19/2018,Very Great learning path,5
7/19/2018,Good,5
7/19/2018,Buffering and buffering again even though i have a great intenet connection. Sometimes it just restarts the video. Why would you think that is what i need when whatching a 30+ minute video?,1
7/18/2018,I love Pluralsight but this app sucks. Throws errors if you try to download and unable to remember where you got to meaning you have manually find the section each time then pray that it works at all,2
7/17/2018,Have started seeing a no. of issues recently: 1. Not able to download any videos. Keep getting an error ' An unexpected error has occurred ' .There are no issues with the Internet and I tried restarting the app a few times but didn't help 2. While buffering if the Internet signal is weak it stops and starts playing the first chapter of the course. Very frustrating. Can someone fix this asap,3
7/17/2018,"Good content, buggy video player",3
7/16/2018,"My dudes... Why does this app not save my place or show where I am within a course? All it shows is the overall course progress bar and no way to continue that course from where I left off. Even the individual videos have no visual indicator of which ones I have watched. Totes bizzarro, am I out of my noodlerino? EDIT: Has nothing to do with sync; the progress is all made on my phone and it even says &quot;recently synced&quot;. The problem is as I have said the app doesn't offer a way to &quot;continue course&quot; (only &quot;start course&quot;) and the table of contents doesn't indicate which vids have already been watched. But the app clearly is aware of which ones I have watched because the overall course progress indicator is accurate.",2
7/16/2018,The app is not keeping track of progress of the course. It will also lock up sometimes when pausing the course in the background and trying to play it later. Otherwise I like the content.,2
7/14/2018,Great app.,5
7/14/2018,the best,5
7/14/2018,Great content!,5
7/13/2018,Great material to learn,5
7/12/2018,Nice app and nice tutorials,5
7/12/2018,Thanks for making my learning easy... Azure Administration course is awesome.. hopefully i find a role in Azure administration... thanks for wonderful content,5
7/11/2018,Great quality content and great app,5
7/10/2018,Best learning App,5
7/10/2018,Terrible plain and simple. This player is so very unreliable. Can't believe after all this time they can't make a player that works even at basic level.,1
7/10/2018,The data related courses are redirected to data camp. Some topics recorded have bad audio.,1
7/9/2018,Functional except for downloads. It fails frequently downliading n of nTotal and instead of retrying itself you have to manually start downloading the missing. Repeat until it finally completes.,2
7/7/2018,Mitch is the best teacher.,5
7/5/2018,The tests are not included.,4
6/30/2018,Best courses on the planet for a reason,5
6/29/2018,Very uptodate courses.,5
6/29/2018,"Best learning app for beginners,professional or anybody who want to learn programming",5
6/29/2018,Problems with downloading courses.,3
6/27/2018,"Chromecast with my Sony Bravia TV stopped working properly after recent update. It was brilliant before, please fix.",2
6/25/2018,Great content! Exactly what I need to improve my existing skills and learn new ones,5
6/24/2018,Easy to use and convenient app and the courses of course rocks,5
6/22/2018,Looks like I can't sign up for self learning with personal email.,1
6/21/2018,Great trainers,5
6/21/2018,This review is about the application. It looks great but most of the times videos don't play.,3
6/20/2018,"I've downloaded a few courses, but whenever I go to watch them during my commute on the tube, after selecting the downloaded course the app just shows the spinner and does nothing.",2
6/18/2018,"Excellent job by pluralsight. I really like all the course. One thing need to be improve is captions background colour in application. It should be transparent. When we fast forward or backward video, video restarted. And Videos title missing sometimes.",2
